word,score
nepotisme,-1
judi online,-1
pinjaman online,-1
pemicu demonstrasi,-2
kebijakan tolol,-3
jelek,-1
kebodohan,-1
korupsi,-1
koruptor,-3
kolusi,-2
deforestasi,-2
anjing,-1
merugikan rakyat,-3
rakyat marah,-2
sengsara,-3
hoaks,-2
bohong,-2
khianat,-2
manipulatif,-3
yapping,-1
masalah,-1
bangsat,-3
orde baru,-3
racun,-1
ricuh,-2
ruu tni,-3
anjlok,-3
inflasi,-2
pemerasan,-1
oligarki,-2
bubar,-3
tambang nikel,-3
kontol,-2
bego,-1
susah,-1
phk,-1
mafia tanah,-3
efisiensi,-3
demo,-1
rusak,-3
tuli,-3
sombong,-1
bungkam,-2
rampok,-1
buzzer,-2
pajak mahal,-1
dewan ,-1
02 voter,-2
sakit,-3
salah,-3
gelap,-3
suram,-3
indonesia cemas,-2
galak,-2
rugi,-2
arogan,-1
dewan ,-2
gagal,-3
kurang ,-2
nirempati,-2
gagal total,-2
resah,-3
kecewa,-1
jual agama,-2
palsu,-3
negatif,-3
kesal,-3
bunuh,-2
ngebunuh,-3
tembak,-3
ditembak,-3
tumbang,-3
minus,-3
tidak becus,-3
tidak pantas,-3
tidak menyelesaikan masalah,-3
kebijakan gagal,-1
pemerintahan gagal,-1
dewan mengancam,-1
zionis,-1
mengancam,-3
injak,-2
keluh,-2
ngeluh,-1
janji palsu,-3
kebijakan asal,-3
tewas,-2
mati,-3
tindas,-1
lindas,-1
mundur,-2
tidak peduli,-3
tidak mendengarkan,-2
tidak berpihak,-1
tidak layak,-3
umr rendah,-2
leceh,-2
mahal,-3
pendapatan rendah,-3
rendah,-3
cacat,-3
liar,-2
begal,-1
acakadut,-1
acak-acakan,-3
diperas,-1
rekayasa,-2
manipulasi,-2
problematik,-1
ancaman,-1
mengerikan,-2
babi,-1
brengsek,-3
menyebalkan,-3
menyusahkan,-1
capek,-3
drama,-1
meninggal,-3
tutup mata,-3
monopoli,-2
sembrono,-3
tidak efektif,-1
kebijakan bodoh,-3
langgar,-1
kacau,-3
tidak transparan,-3
rasis,-1
tidak konsisten,-3
indonesia gelap,-2
hutang,-2
efisiensi anggaran,-1
salah pilih,-3
menyesal,-3
derita,-1
bijak tolol,-1
bijak bodoh,-1
tidak berpihak pada rakyat,-1
adili jokowi,-3
buruk,-1
parah,-3
lambat,-2
lemah,-1
korup,-2
meresahkan,-2
tidak jelas,-2
tidak adil,-3
tidak benar,-1
bahaya,-1
defisit,-3
krisis,-2
sangat buruk,-2
buruk sekali,-3
sangat jelek,-3
jelek sekali,-3
salah besar,-1
tidak akurat,-2
tidak memuaskan,-1
tidak bertanggung jawab,-3
kebijakan buruk,-2
beban negara,-1
mengecewakan,-2
mengecewakan rakyat,-2
tidak ada solusi,-2
tidak ada perubahan,-3
keputusan buruk,-3
kinerja buruk,-3
pemerintah gagal,-2
pemerintah kacau,-3
situasi memburuk,-3
acab,-2
respon lambat,-2
kinerja pemerintahan buruk,-2
program yang tidak efektif,-3
sangat tidak memuaskan,-1
masalah yang tidak selesai,-1
kebijakan yang merugikan,-2
keputusa yang sangat buruk,-1
masalah yang makin parah,-2
tidak ada progres nyata,-2
kebijakan efisiensi,-2
diskriminatif,-3
tidak stabil,-3
lamban,-3
partisan,-3
intoleran,-2
cacat,-2
tumpul,-2
menurun,-2
merugikan rakyat,-1
usang,-1
tidak memadai,-3
kontradiktif,-2
bermasalah,-1
kontroversial,-2
licik,-3
salah arah,-3
kinerja menurun,-1
pelayanan buruk,-3
komunikasi buruk,-3
program gagal,-1
kebijakan kontroversial,-3
respon lamban,-1
penanganan buruk,-1
kerja tidak maksimal,-1
tidak ada perbaikan,-1
pemerintah lambat,-1
anggaran bocor,-2
janji kosong,-3
kritik keras,-1
tindakan tidak jelas,-3
tindakan tidak perlu,-1
pernyataan menyesatkan,-1
keputusan sembrono,-2
kebijakan tidak berpihak rakyat,-1
penanganan yang sangat buruk,-2
keputusan yang keliru,-3
keliru,-2
janji yang tidak ditepati,-3
situasi makin memburuk,-3
masalah yang terus berlanjut,-3
kondisi semakin parah,-3
bocor,-1
stunting,-2
beracun,-2
tidak efisien,-1
inkonsisten,-2
tidak berfungsi,-1
ambigu,-2
terpuruk,-1
tidak tepat,-1
asal-asalan,-3
kemahalan,-1
harga naik,-2
merugikan,-3
membebani,-3
melemah,-2
kolaps,-3
berat,-3
memberatkan,-2
kesulitan,-1
tertekan,-3
tidak masuk akal,-1
tidak manusiawi,-3
melanggar,-1
tidak logis,-1
bias,-1
curang,-1
polemik,-2
blunder,-1
gagal,-2
diragukan,-1
tidak percaya,-2
tidak yakin,-3
menyesatkan,-3
menipu,-2
tidak profesional,-3
tidak etis,-1
meragukan,-3
kekecewaan,-1
protes,-3
marah,-2
benci,-1
muak,-1
frustasi,-1
gemes,-2
sebal,-3
turun,-1
bukan,-2
penurunan,-1
demonstrasi,-1
kritik,-2
beban,-3
lemot,-1
asu,-2
emosi,-1
tidak terkontrol,-3
tolol,-2
bajingan,-3
jilat,-1
penjilat,-3
menjilat,-3
kontra,-3
kesalahan,-2
termul,-1
sensitif,-2
bencana,-2
banjir,-1
tanah longsor,-1
oplos,-1
hilang,-2
nepo,-2
enggan,-3
kasus,-3
toxic,-1
tidak melindungi,-1
gak melindungi,-1
absurd,-3
najis,-3
pembunuh,-1
keracunan,-1
setan,-2
nafsu,-1
luka,-1
terluka,-3
terdampak,-1
pungut,-1
oposisi,-2
liar,-1
bodoh,-3
penjahat,-1
antek,-1
